id_pay,id_order,dim_status,dim_type,m_amount,date_created
130369665,102313618,ACCEPTED,AMERICAN_EXPRESS,149.0,2019-11-08 21:50:48
90731003,69597168,ACCEPTED,BANK_CHECK,88.0,2019-04-25 16:39:27
19768825,13469135,ACCEPTED,BANK_CHECK,25.5,2017-09-18 12:37:43
41389916,30084190,ACCEPTED,CB_SANS_CONTACT,14.5,2018-05-28 11:55:48
164278835,130440842,ACCEPTED,VOUCHER,-1.3,2020-06-30 10:45:43
162260521,128753974,ACCEPTED,VOUCHER,-4.5,2020-06-19 10:45:15
119603537,93491278,ACCEPTED,CB_SANS_CONTACT,10.9,2019-09-19 21:16:36
79435409,60546162,ACCEPTED,CB_SANS_CONTACT,12.9,2019-02-20 22:39:22
157914093,124952381,ACCEPTED,AUTRES,26.9,2020-05-07 16:16:56
19818554,13505230,ACCEPTED,CARTE TICKET RESTAURANT,18.2,2017-09-19 12:16:55
180852175,144311591,ACCEPTED,CB_SANS_CONTACT,46.0,2020-09-26 18:10:44
24105620,16569609,ACCEPTED,BANK_CHECK,1814.5,2017-11-21 16:15:00
76218058,57932688,ACCEPTED,CB_SANS_CONTACT,13.9,2019-02-01 12:46:32
64379185,46812304,ACCEPTED,TAB,400.0,2018-11-09 15:35:41
170358538,135469137,ACCEPTED,CARTE_TICKET_RESTAURANT,34.0,2020-07-30 21:26:59
63615641,47755913,ACCEPTED,CB_SANS_CONTACT,10.4,2018-11-03 23:31:43
104111454,80746940,ACCEPTED,BANK_TRANSFER,221.0,2019-07-04 12:28:15
62444095,46775155,ACCEPTED,CB_SANS_CONTACT,13.9,2018-10-26 12:06:51
57146110,42494787,ACCEPTED,CB_SANS_CONTACT,18.7,2018-09-21 11:09:09
94338446,72713360,ACCEPTED,CB_SANS_CONTACT,16.1,2019-05-16 11:48:29
132173273,103801920,ACCEPTED,ALLORESTO,23.4,2019-11-17 22:26:32
180370816,143898595,ACCEPTED,CB_SANS_CONTACT,23.3,2020-09-24 12:44:56
47254064,34771809,ACCEPTED,CB_SANS_CONTACT,11.8,2018-07-10 19:47:20
115751518,90360652,ACCEPTED,BANK_CHECK,107.0,2019-09-02 12:13:57
123636625,96812526,ACCEPTED,CB_SANS_CONTACT,14.2,2019-10-08 12:28:31
127683203,100114237,ACCEPTED,CB_SANS_CONTACT,24.3,2019-10-26 18:01:43
43324758,31643201,ACCEPTED,UBER EATS,24.8,2018-06-12 21:35:17
61057772,45656366,ACCEPTED,CB_SANS_CONTACT,23.9,2018-10-17 12:10:18
144424993,113818785,ACCEPTED,ALLORESTO,45.7,2020-01-19 21:58:56
